sentence,decade
"You’ll be sorry for it by-and-by, when you’ve tried love in a cottage and found it a failure.” “It can’t be a worse one than some people find in big houses,” retorted Meg.",1850s
"I think you will prosper, for the sincere wish to be good is half the battle.",1850s
"Here ye strike but splintered hearts together—there, ye shall strike unsplinterable glasses!",1850s
"But Jo had her own eyes to take care of, and feeling that they could not be trusted, she prudently kept them on the little sock she was knitting, like a model maiden aunt.",1850s
"That day had stretch’d beneath his matchless hand The hoary monarch of the Pylian band, But Diomed beheld; from forth the crowd He rush’d, and on Ulysses call’d aloud: “Whither, oh whither does Ulysses run?",1850s
"“You can go, Miss March,” said Mr. Davis, looking, as he felt, uncomfortable.",1850s
"Its panelled front was in the likeness of a ship’s bluff bows, and the Holy Bible rested on a projecting piece of scroll work, fashioned after a ship’s fiddle-headed beak.",1850s
"Whether he had lost that fin in battle, or had been born without it, it were hard to say.",1850s
"Our joys profaned by each familiar eye; The sport of heaven, and fable of the sky: How shall I e’er review the blest abodes, Or mix among the senate of the gods?",1850s
the charge of battle bear; Your brave associates and yourselves revere!,1850s
"Though, when I had been exposed to the rudest blasts a long time, my whole body began to grow torpid, when I reached the genial atmosphere of my house I soon recovered my faculties and prolonged my life.",1850s
"ye cannot swerve me, else ye swerve yourselves!",1850s
"There are a few who remember his little patch among the walnuts, which he let grow up till he should be old and need them; but a younger and whiter speculator got them at last.",1850s
"There is a glass door between it and the nursery, and I mean to peep at him, and then I’ll tell you how he looks.",1850s
"In the second engraving, the boat is in the act of drawing alongside the barnacled flank of a large running Right Whale, that rolls his black weedy bulk in the sea like some mossy rock-slide from the Patagonian cliffs.",1850s
"Can I do it?” asked Beth, a few weeks after that eventful call of his.",1850s
"It was a cloudy, sultry afternoon; the seamen were lazily lounging about the decks, or vacantly gazing over into the lead-coloured waters.",1850s
"After resisting for some time, she yielded to the impulse, and armed with a book to return, went over to the big house.",1850s
"Spring, men—pull, men; never mind their backs—scrape them!—scrape away!” The boat was now all but jammed between two vast black bulks, leaving a narrow Dardanelles between their long lengths.",1850s
"It may well be conceived, what an unsavory odor such a mass must exhale; worse than an Assyrian city in the plague, when the living are incompetent to bury the departed.",1850s
"I like to fly about and cut capers.” “You can’t ask Mother for new ones, they are so expensive, and you are so careless.",1850s
"John was requested to order home a dozen or so of little pots and an extra quantity of sugar, for their own currants were ripe and were to be attended to at once.",1850s
"I’ve heard that the Isle of Albemarle, one of the Gallipagos, is cut by the Equator right in the middle.",1850s
"A man has not every thing to do, but something; and because he cannot do _every thing_, it is not necessary that he should do _something_ wrong.",1850s
"Weary Hannah slept on, and no one but the sisters saw the pale shadow which seemed to fall upon the little bed.",1850s
"I’ve always longed for lots of boys, and never had enough, now I can fill the house full and revel in the little dears to my heart’s content.",1850s
"who durst aspire To meet his might, and emulate thy sire, The great Mecistheus; who in days of yore In Theban games the noblest trophy bore, (The games ordain’d dead OEdipus to grace,) And singly vanquish the Cadmean race.",1850s
"Beside, there were wafted to me evidences of unexplored and uncultivated continents on the other side.",1850s
"“I shall marry whom I please, Aunt March, and you can leave your money to anyone you like,” she said, nodding her head with a resolute air.",1850s
It is not in vain that the farmer remembers and repeats the few Latin words which he has heard.,1850s
"Hector, having performed the orders of Helenus, prevails upon Paris to return to the battle, and, taking a tender leave of his wife Andromache, hastens again to the field.",1850s
"In aid of Troy, Latona, Phœbus came, Mars fiery-helm’d, the laughter-loving dame, Xanthus, whose streams in golden currents flow, And the chaste huntress of the silver bow.",1850s
"Their pain soft arts of pharmacy can ease, Thy breast alone no lenitives appease.",1850s
"[190] “As far removed from God and light of heaven, As from the centre thrice to th’ utmost pole.” —“Paradise Lost.” “E quanto è da le stelle al basso inferno, Tanto è più in sù de la stellata spera” —Gier.",1850s
"No one had time to think of him again till, as Meg ran through the entry, with a pair of rubbers in one hand and a cup of tea in the other, she came suddenly upon Mr. Brooke.",1850s
"They did not attack towns at night, nor did the garrisons of the towns attack encampments at night; they did not surround the camp either with stockade or ditch, nor did they campaign in the winter.",1850s
"Take away the tied tendons that all over seem bursting from the marble in the carved Hercules, and its charm would be gone.",1850s
"It is surprising that they are caught here,—that in this deep and capacious spring, far beneath the rattling teams and chaises and tinkling sleighs that travel the Walden road, this great gold and emerald fish swims.",1850s
"As near as he could remember, it stood twelve or fifteen rods from the shore, where the water was thirty or forty feet deep.",1850s
"Nor, in some historic instances, has the art of human malice omitted so potent an auxiliary.",1850s
"Their arms in order on the ground reclined, Through the brown shade the fulgid weapons shined: Amidst lay Rhesus, stretch’d in sleep profound, And the white steeds behind his chariot bound.",1850s
“Terrors upon terrors run shouting through his soul.,1850s
"I give you leave,” returned Laurie, who enjoyed having someone to tease, after his long abstinence from his favorite pastime.",1850s
"“Amy put a blue ribbon on the boy and a pink on the girl, French fashion, so you can always tell.",1850s
We cannot touch a string or move a stop but the charming moral transfixes us.,1850s
You are as cool and soft as snow.” “You don’t know what I can do.,1850s
"These are all very firm fish, and weigh more than their size promises.",1850s
It seemed the great Black Parliament sitting in Tophet.,1850s
"So, so; there you are now; that’s the stroke for a thousand pounds; that’s the stroke to sweep the stakes!",1850s
"and with the soft feeling of the human in me, yet will I try to fight ye, ye grim, phantom futures!",1850s
"The repugnance to animal food is not the effect of experience, but is an instinct.",1850s
A fact thus set down in substantial history cannot easily be gainsaid.,1850s
"You’ll starve; you’ll kill yourself, Queequeg.” But not a word did he reply.",1850s
"A safe return was promised to our toils, With conquest honour’d and enrich’d with spoils: Now shameful flight alone can save the host; Our wealth, our people, and our glory lost.",1850s
"Pull, then, do pull; never mind the brimstone—devils are good fellows enough.",1850s
"I hear the dance-music of all nations, The waltz, some delicious measure, lapsing, bathing me in bliss, The bolero to tinkling guitars and clattering castanets.",1860s
"“Spirit that haunts this dark lagoon to-night,” he cried, “dost hear me?” Of course Peter should have kept quiet, but of course he did not.",1860s
There was a woman about forty year old in there knitting by a candle that was on a pine table.,1860s
"General Scott was also known to have political aspirations, and nothing so popularizes a candidate for high civil positions as military victories.",1860s
TREATY OF PEACE--MEXICAN BULL FIGHTS--REGIMENTAL QUARTERMASTER--TRIP TO POPOCATAPETL--TRIP TO THE CAVES OF MEXICO.,1860s
"In September, 1892, Mr. Gladstone went to Sir E. Watkin's _Chalet_ on Mount Snowdon, Wales, where he made his Boulder Stone speech.",1860s
From the subject discussed it can be readily and truly imagined that John Gladstone had given thought to political subjects.,1860s
"There was at first such a tiny sound that a leaf might have fallen on it and smothered it, but as it came nearer it was more distinct.",1860s
"By crossing above, Lee would be cut off from all chance of ignoring Richmond or going north on a raid.",1860s
"Sometimes the thing yielded to him without a contest, but there were occasions when it would have been better for the house if he had swallowed his pride and used a made-up tie.",1860s
I want to leave a gap on the roads north of Richmond so big that to get a single track they will have to import rail from elsewhere.,1860s
"There he learned that Smith, while waiting for a few of his men who had been ice-bound in the Ohio River, instead of getting off on the 1st as expected, had not left until the 11th.",1860s
Now I want to ast you: what’s de use er dat half a bill?—can’t buy noth’n wid it.,1860s
But if we find their boat we can put _all_ of ’em in a bad fix—for the Sheriff ’ll get ’em.,1860s
"“I say, Peter, can you really fly?” Instead of troubling to answer him Peter flew around the room, taking the mantelpiece on the way.",1860s
"Conscious of what their obligations were, they would continue to use their best endeavours to fulfil them, unmoved by the threats and the captious criticisms of the Opposition.""",1860s
The Princess took great interest in inspecting the favorite dogs of the Gladstone family.,1860s
"These they cut away, and pushed on through.",1860s
"Again the long roll of the drummers, Again the attacking cannon, mortars, Again to my listening ears the cannon responsive.",1860s
"And, mind you, when a girl tries to catch anything in her lap she throws her knees apart; she don’t clap them together, the way you did when you catched the lump of lead.",1860s
"On the 28th, he again attacked and defeated the enemy under the rebel General Taylor, at Cane River.",1860s
"The bill was rejected, and Mr. Gladstone at a later period discovered that his progress in ecclesiastical and political opinions was creating a breach between himself and his constituents at Oxford.",1860s
"Open mouth of my soul uttering gladness, Eyes of my soul seeing perfection, Natural life of me faithfully praising things, Corroborating forever the triumph of things.",1860s
"With these and such additions as I can give you from elsewhere, lose no time in making a demonstration, to be followed by an attack upon Mobile.",1860s
"But the first great blunder, detaching Longstreet, cannot be accounted for in any way I know of.",1860s
"Its acceptance would have meant burial in the House of Lords, and an end to his progressive action.",1860s
By this accident Lee got possession of Spottsylvania.,1860s
"If their services can be rewarded by promotion to the rank of Major-Generals in the regular army the honor would be worthily bestowed, and I would feel personally gratified.",1860s
A direct attack along the road was an impossibility.,1860s
"Living in a house and sleeping in a bed pulled on me pretty tight mostly, but before the cold weather I used to slide out and sleep in the woods sometimes, and so that was a rest to me.",1860s
"It might have been expected that Mr. Gladstone's active participation in the debates in the House of Commons, and the practical ability and debating power he manifested would not escape the attention of the leaders of his party.",1860s
My nomination had been sent to the Senate on the 1st of March and confirmed the next day (the 2d).,1860s
HALLECK ASSUMES COMMAND IN THE FIELD--THE ADVANCE UPON CORINTH --OCCUPATION OF CORINTH--THE ARMY SEPARATED.,1860s
He at once commenced his preparations for the capture of the position held by Santa Anna and of the troops holding it.,1860s
"The Sergeant was condemned for occupying the attention of the electors for such an inordinate length of time, but this did not prevent a scene of outrageous noise and uproar when the Tory candidate rose to speak.",1860s
A great outburst of popular sympathy was manifested and frequent messages were received from the Queen and many foreign potentates and celebrities.,1860s
"He was a strict disciplinarian, and perhaps did not distinguish sufficiently between the volunteer who ""enlisted for the war"" and the soldier who serves in time of peace.",1860s
"“Did you hear them say Peter Pan’s from home?” Smee whispered, fidgeting with Johnny Corkscrew.",1860s
"“To tell the other boys.” “Don’t go Peter,” she entreated, “I know such lots of stories.” Those were her precise words, so there can be no denying that it was she who first tempted him.",1860s
These orders were repeated several times without apparently expediting McClernand's advance.,1860s
"For the moment they were feeling less eerie, because Tink was flying with them, and in her light they could distinguish each other.",1860s
"The whole distance from there to Vicksburg and thence to Warrenton was also intrenched, with batteries at suitable distances and rifle-pits connecting them.",1860s
"The host, however, was not pressing, so that I declined the invitation and, mounting my horse, rode on.",1860s
(This day I am jetting the stuff of far more arrogant republics.),1860s
"The Mexicans now became so incensed at our near approach that some of their troops crossed the river above us, and made it unsafe for small bodies of men to go far beyond the limits of camp.",1860s
I was glad of that; but the way Buck did take on because he didn’t manage to kill Harney that day he shot at him—I hain’t ever heard anything like it.,1860s
The roads and wires were cut in every direction from the rebel capital.,1860s
The same remark will apply also in the case of General Canby.,1860s
"“Out with it!” he shouted, and in one ungrammatical sentence, as long as the ribbons that conjurers pull from their mouths, she told of the capture of Wendy and the boys.",1860s
All the troops you can quickly assemble should be brought.,1860s
"We’ll fetch you a little one and you plant it in the corner over there, and raise it.",1860s
The movement from Cold Harbor commenced after dark on the evening of the 12th.,1860s
The horse was killed and the rider lay prostrate as if dead.,1860s
"Race of the soil, ready for conflict--race of the conquering march!",1860s
"When I undertake to tell the best I find I cannot, My tongue is ineffectual on its pivots, My breath will not be obedient to its organs, I become a dumb man.",1860s
Fort Pemberton was so little above the water that it was thought that a rise of two feet would drive the enemy out.,1860s
"I do not want you, therefore, to cut loose and go after the enemy's roads at present.",1860s
"But the new ministry was surrounded by serious difficulties, and did not pull together very long.",1860s
"And he wanted to know all about it right off, because it was a grand adventure, and mysterious, and so it hit him where he lived.",1860s
"The king allowed he would go, too, and see if he couldn’t strike something.",1860s
"A large meeting was held in St. James Hall, London, October 19, 1896, in memory of Christian Martyrs in Turkey.",1860s
"On the other hand, General Taylor's, I think, indicate that he considered the administration accountable for the war, and felt no responsibility resting on himself further than for the faithful performance of his duties.",1860s
"You been up to something you no business to, and I lay I’ll find out what it is before _I’m_ done with you.” So she went away as I opened the door and walked into the setting-room.",1860s
"Throughout all the Empire the event was celebrated, and the jubilee procession in London was swollen by representatives of all parts of the Queen's domain and all nations on earth which rendered it the greatest pageant ever beheld.",1860s
"All are keeping a sharp look-out in front, but none suspects that the danger may be creeping up from behind.",1860s
"It is one of the highest points in that section, and commanded all the ground in range.",1860s
On either side were deep chasms or mountain walls.,1860s
"He was repulsed on both occasions, but gained such information of the ground as to induce him to report recommending the assault.",1860s
